event,compound,laps,max_age,wear_s_per_lap,level,driver
Bahrain,HARD,102,17.0,-0.0009179756532241379,practice_event_compound,
Bahrain,MEDIUM,185,22.0,0.0033381819597486278,practice_event_compound,
Bahrain,SOFT,260,19.0,-0.00029167238427515985,practice_event_compound,
Imola,MEDIUM,276,24.0,-0.004332337950776957,practice_event_compound,
Imola,SOFT,231,14.0,-0.00020192817416080837,practice_event_compound,
Monza,HARD,125,21.0,-0.015806122098023866,practice_event_compound,
Monza,MEDIUM,253,22.0,-0.010613638827845703,practice_event_compound,
Monza,SOFT,175,17.0,1.069578398064997e-06,practice_event_compound,
Silverstone,HARD,63,19.0,-0.001910966849538796,practice_event_compound,
Silverstone,MEDIUM,345,23.0,-0.0038479119070147305,practice_event_compound,
Silverstone,SOFT,181,17.0,-1.3695504612428484e-05,practice_event_compound,
*,HARD,299,21.0,-0.008592678331448816,practice_compound,
*,MEDIUM,1059,24.0,-0.0020622500908585835,practice_compound,
*,SOFT,847,19.0,-4.067403159727772e-05,practice_compound,
Bahrain,HARD,1105,50.0,0.02266767727297571,loeo_compound,
Bahrain,MEDIUM,710,45.0,0.01277837057141363,loeo_compound,
Bahrain,SOFT,24,11.0,-0.017255708574231855,loeo_compound,
Imola,HARD,747,50.0,0.01746078601427348,loeo_compound,
Imola,MEDIUM,851,45.0,0.02263730778902443,loeo_compound,
Imola,SOFT,251,28.0,0.039475475167627075,loeo_compound,
Monza,HARD,898,34.0,0.06069626553669196,loeo_compound,
Monza,MEDIUM,769,34.0,0.04938104156972234,loeo_compound,
Monza,SOFT,227,28.0,0.05268917908982106,loeo_compound,
Bahrain,HARD,256,30.0,0.0851826805213186,field_lodo,ALB
Bahrain,HARD,248,30.0,0.08728622138763037,field_lodo,ALO
Bahrain,HARD,254,30.0,0.08481616638440632,field_lodo,BEA
Bahrain,HARD,253,30.0,0.08242916397222029,field_lodo,BOR
Bahrain,HARD,246,30.0,0.08253686280833446,field_lodo,DOO
Bahrain,HARD,246,30.0,0.0842266433078656,field_lodo,GAS
Bahrain,HARD,246,30.0,0.0874085980050146,field_lodo,HAD
Bahrain,HARD,248,30.0,0.08300908522821714,field_lodo,HAM
Bahrain,HARD,254,30.0,0.0829401297553864,field_lodo,LAW
Bahrain,HARD,248,30.0,0.08078310881664162,field_lodo,LEC
Bahrain,HARD,245,29.0,0.08431305552615843,field_lodo,OCO
Bahrain,HARD,262,30.0,0.0850299397777072,field_lodo,SAI
Bahrain,HARD,248,30.0,0.08507702361828363,field_lodo,STR
Bahrain,HARD,256,30.0,0.08691996677296297,field_lodo,VER
Bahrain,MEDIUM,433,31.0,0.07151100609824468,field_lodo,ALB
Bahrain,MEDIUM,427,31.0,0.07145565133179209,field_lodo,ALO
Bahrain,MEDIUM,442,31.0,0.07067812078516289,field_lodo,ANT
Bahrain,MEDIUM,422,31.0,0.07472290657301656,field_lodo,BOR
Bahrain,MEDIUM,438,31.0,0.07064713993580309,field_lodo,DOO
Bahrain,MEDIUM,439,31.0,0.07221189538187699,field_lodo,GAS
Bahrain,MEDIUM,435,31.0,0.0688060083355856,field_lodo,HAD
Bahrain,MEDIUM,427,31.0,0.06989145069005404,field_lodo,HAM
Bahrain,MEDIUM,410,31.0,0.07288510836718794,field_lodo,HUL
Bahrain,MEDIUM,443,31.0,0.07345051563214769,field_lodo,LAW
Bahrain,MEDIUM,427,31.0,0.06829051947971898,field_lodo,LEC
Bahrain,MEDIUM,413,31.0,0.0715016539432146,field_lodo,NOR
Bahrain,MEDIUM,438,31.0,0.071253008830528,field_lodo,OCO
Bahrain,MEDIUM,417,31.0,0.07255976938608254,field_lodo,PIA
Bahrain,MEDIUM,438,31.0,0.07396126509509977,field_lodo,RUS
Bahrain,MEDIUM,439,31.0,0.0701557883213787,field_lodo,SAI
