event,compound,laps,max_age,wear_s_per_lap,level,driver
Monza,HARD,158,22.0,-0.008942637869012737,practice_event_compound,
Monza,MEDIUM,249,22.0,-0.004553676139809261,practice_event_compound,
Monza,SOFT,295,20.0,-0.0005222391200402749,practice_event_compound,
Silverstone,HARD,200,25.0,-0.014489960869555547,practice_event_compound,
Silverstone,MEDIUM,26,10.0,0.02203432470804217,practice_event_compound,
Silverstone,SOFT,35,8.0,0.0037621161833339455,practice_event_compound,
*,HARD,358,25.0,-0.008610982185349543,practice_compound,
*,MEDIUM,275,22.0,-0.0049492865968703975,practice_compound,
*,SOFT,330,20.0,-0.00033009531303546146,practice_compound,
Silverstone,HARD,458,50.0,0.023544107850727376,loeo_compound,
Silverstone,MEDIUM,362,50.0,0.023130470224833756,loeo_compound,
Silverstone,SOFT,67,24.0,0.04288030575769351,loeo_compound,
Monza,HARD,368,33.0,0.047830882962751016,loeo_compound,
Monza,MEDIUM,441,34.0,0.0329262003825995,loeo_compound,
Monza,HARD,421,50.0,0.022674373826956036,field_lodo,ALB
Monza,HARD,413,50.0,0.020559045663656152,field_lodo,BEA
Monza,HARD,413,50.0,0.026434572551303732,field_lodo,COL
Monza,HARD,414,50.0,0.02354060142943252,field_lodo,GAS
Monza,HARD,438,50.0,0.025135675527043183,field_lodo,HUL
Monza,HARD,453,50.0,0.02376325962194727,field_lodo,LAW
Monza,HARD,414,50.0,0.020589824142261137,field_lodo,LIN
Monza,HARD,414,50.0,0.024013999670236118,field_lodo,NOR
Monza,HARD,438,50.0,0.024380804020442095,field_lodo,OCO
Monza,HARD,413,50.0,0.021772454595562464,field_lodo,PIA
Monza,HARD,413,50.0,0.023188339073498435,field_lodo,RUS
Monza,HARD,438,50.0,0.024655462198196816,field_lodo,SAI
Monza,HARD,438,50.0,0.023726059641010842,field_lodo,STR
Monza,HARD,434,50.0,0.022638738973778532,field_lodo,VER
Monza,MEDIUM,317,50.0,0.024130832702652684,field_lodo,ANT
Monza,MEDIUM,317,50.0,0.02275963313469377,field_lodo,BOR
Monza,MEDIUM,342,50.0,0.02387094679305807,field_lodo,BOT
Monza,MEDIUM,361,50.0,0.02327462234014087,field_lodo,COL
Monza,MEDIUM,361,50.0,0.023522117667133274,field_lodo,GAS
Monza,MEDIUM,317,50.0,0.021696346093177218,field_lodo,HAM
Monza,MEDIUM,337,50.0,0.02440757168362256,field_lodo,HUL
Monza,MEDIUM,324,50.0,0.024230318751361436,field_lodo,LAW
Monza,MEDIUM,361,50.0,0.02327462234014087,field_lodo,LIN
Monza,MEDIUM,361,50.0,0.023522117667133274,field_lodo,NOR
Monza,MEDIUM,338,50.0,0.020846151648587743,field_lodo,OCO
Monza,MEDIUM,338,50.0,0.0236812075264382,field_lodo,PER
Monza,MEDIUM,361,50.0,0.022689263190636088,field_lodo,PIA
Monza,MEDIUM,361,50.0,0.023196344818664283,field_lodo,RUS
Monza,MEDIUM,337,50.0,0.02267015708452331,field_lodo,SAI
Monza,MEDIUM,318,50.0,0.02043870047473059,field_lodo,TSU
Monza,MEDIUM,341,50.0,0.024865239665054585,field_lodo,VER
Monza,SOFT,62,24.0,0.0444069240573608,field_lodo,ALB
Monza,SOFT,51,24.0,0.02942041437365563,field_lodo,ALO
Monza,SOFT,66,24.0,0.046200418525319635,field_lodo,BEA
Monza,SOFT,66,24.0,0.04620041852531964,field_lodo,BOR
Monza,SOFT,46,23.0,0.04974152257494216,field_lodo,BOT
Monza,SOFT,66,24.0,0.04620041852531964,field_lodo,HAM
Monza,SOFT,66,24.0,0.04620041852531964,field_lodo,OCO
Monza,SOFT,47,24.0,0.015764139768160733,field_lodo,PER
Monza,SOFT,66,24.0,0.04620041852531964,field_lodo,VER
Silverstone,HARD,358,33.0,0.044761480274166245,field_lodo,ALB
Silverstone,HARD,347,33.0,0.049413430549474426,field_lodo,ALO
Silverstone,HARD,366,33.0,0.04909029956504135,field_lodo,ANT
Silverstone,HARD,355,33.0,0.04711954531901165,field_lodo,BEA
Silverstone,HARD,351,33.0,0.04491512173523456,field_lodo,BOR
Silverstone,HARD,355,33.0,0.047951236740326225,field_lodo,BOT
Silverstone,HARD,347,33.0,0.04978304057846049,field_lodo,COL
Silverstone,HARD,348,33.0,0.04836498897806371,field_lodo,GAS
Silverstone,HARD,353,33.0,0.04700477478117355,field_lodo,HAD
Silverstone,HARD,348,33.0,0.04622764093365778,field_lodo,HAM
Silverstone,HARD,354,33.0,0.05151920758006929,field_lodo,HUL
Silverstone,HARD,353,33.0,0.04942445406092502,field_lodo,LAW
Silverstone,HARD,349,33.0,0.04547116725878753,field_lodo,LEC
Silverstone,HARD,352,33.0,0.04712353688265005,field_lodo,LIN
Silverstone,HARD,360,33.0,0.050498796666679543,field_lodo,NOR
Silverstone,HARD,347,33.0,0.05254402833495772,field_lodo,OCO
Silverstone,HARD,347,33.0,0.050480944006488004,field_lodo,PER
Silverstone,HARD,337,26.0,0.049774967319784195,field_lodo,PIA
Silverstone,HARD,359,33.0,0.04866637575102217,field_lodo,RUS
Silverstone,HARD,346,33.0,0.0449996062819709,field_lodo,SAI
Silverstone,HARD,346,33.0,0.04966559933262591,field_lodo,STR
Silverstone,HARD,350,33.0,0.04583784570067496,field_lodo,VER
Silverstone,MEDIUM,435,34.0,0.03241345033451405,field_lodo,ALB
Silverstone,MEDIUM,424,34.0,0.032725396428114756,field_lodo,ALO
Silverstone,MEDIUM,408,28.0,0.035150883912521975,field_lodo,ANT
Silverstone,MEDIUM,416,34.0,0.03167223292803288,field_lodo,BEA
Silverstone,MEDIUM,420,34.0,0.032271315115257215,field_lodo,BOR
Silverstone,MEDIUM,416,34.0,0.02905938549841754,field_lodo,BOT
Silverstone,MEDIUM,423,34.0,0.034117399524254285,field_lodo,COL
Silverstone,MEDIUM,423,34.0,0.034745791042786786,field_lodo,GAS
Silverstone,MEDIUM,418,34.0,0.03404482344289165,field_lodo,HAD
Silverstone,MEDIUM,422,34.0,0.03288756381087028,field_lodo,HAM
Silverstone,MEDIUM,427,34.0,0.034531172221810555,field_lodo,HUL
Silverstone,MEDIUM,417,34.0,0.034222928715017045,field_lodo,LAW
Silverstone,MEDIUM,420,34.0,0.030524707832730855,field_lodo,LEC
Silverstone,MEDIUM,419,34.0,0.03219857989961376,field_lodo,LIN
Silverstone,MEDIUM,410,34.0,0.03538243752462819,field_lodo,NOR
Silverstone,MEDIUM,423,34.0,0.03390160779498036,field_lodo,OCO
Silverstone,MEDIUM,423,34.0,0.03347301037993101,field_lodo,PER
Silverstone,MEDIUM,434,34.0,0.03095643264043355,field_lodo,PIA
Silverstone,MEDIUM,413,34.0,0.03048431927730156,field_lodo,RUS
Silverstone,MEDIUM,424,34.0,0.033592183804928476,field_lodo,SAI
Silverstone,MEDIUM,426,34.0,0.032925496979968986,field_lodo,STR
Silverstone,MEDIUM,420,34.0,0.033305234092301364,field_lodo,VER
