session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,1,NOR,1.0,1.0,MEDIUM,1.0,91.58,100.0,1.9459101490553132,inf,1,31.8,55.8,5.618561833688397,4.841047870991835,2.306938886244555,13,0,33.79999999999999,0.0,18.400000000000002,0.0,1
R,1,NOR,2.0,1.0,MEDIUM,2.0,86.915,98.2,3.258096538021482,inf,0,32.0,56.2,5.922820991457266,5.317280421092076,1.556431840654026,12,0,27.899999999999995,0.0,14.0,-1.8,1
R,1,NOR,7.0,2.0,HARD,1.0,86.993,89.2,4.060443010546419,inf,0,32.5,56.3,5.69213622813428,5.5330020460185825,1.7689745244392918,10,0,35.29999999999998,0.0,14.0,0.0,1
R,1,NOR,8.0,2.0,HARD,2.0,86.433,87.4,4.3694478524670215,inf,0,32.4,56.2,5.505576970699172,5.5629449756063565,2.034399088488984,11,0,32.59999999999997,0.0,13.4,-1.8,1
R,1,NOR,9.0,2.0,HARD,3.0,86.203,85.6,4.59511985013459,inf,0,32.5,56.4,5.4858989023638856,5.465281318492384,2.0077482032558533,12,0,32.5,0.0,13.100000000000001,-3.6,1
R,1,NOR,10.0,2.0,HARD,4.0,86.591,83.8,4.787491742782046,inf,0,32.4,56.2,6.327270531496541,5.353080278108851,1.3471785722403422,9,0,41.50000000000003,0.0,12.5,-5.4,1
R,1,NOR,11.0,2.0,HARD,5.0,86.238,82.0,4.948759890378168,inf,0,32.4,55.8,5.274446501726926,5.77253709744979,2.1463172520156006,9,0,31.700000000000017,0.0,13.5,-7.2,1
R,1,NOR,12.0,2.0,HARD,6.0,86.213,80.2,5.087596335232384,inf,0,32.5,55.8,5.407402177943798,5.634303039542546,2.016703287421367,12,0,30.699999999999996,0.0,12.0,-9.0,1
R,1,NOR,13.0,2.0,HARD,7.0,86.07,78.4,5.204006687076795,inf,0,32.4,54.9,5.407185879422604,5.642380074050852,2.0358614687686223,13,0,29.500000000000018,0.0,11.8,-10.8,1
R,1,NOR,14.0,2.0,HARD,8.0,86.06,76.6,5.303304908059076,inf,0,32.5,55.4,5.711988793107477,5.463330458358379,1.6542854107195415,15,0,40.700000000000024,0.0,12.5,-12.6,1
R,1,NOR,15.0,2.0,HARD,9.0,86.201,74.8,5.402677381872279,inf,0,32.6,53.8,5.497114115203965,5.835589771438437,1.9762020424284492,9,0,31.700000000000014,0.0,14.700000000000001,-14.4,1
R,1,NOR,16.0,2.0,HARD,10.0,86.262,73.0,5.493061443340548,inf,0,32.6,54.9,4.96358171342221,5.952852088463476,2.548972226084593,13,0,32.000000000000014,0.0,13.5,-16.2,1
R,1,NOR,17.0,2.0,HARD,11.0,86.549,71.2,5.575949103146316,inf,0,32.6,54.9,5.6014263165243285,5.6660894183714685,1.9159885346289582,13,0,34.4,0.0,13.0,-18.0,1
R,1,NOR,18.0,2.0,HARD,12.0,86.456,69.4,5.652489180268651,inf,0,32.6,54.4,5.235904623900479,5.829342331229364,2.2603831147288207,10,0,41.69999999999999,0.0,13.5,-19.8,1
R,1,NOR,19.0,2.0,HARD,13.0,86.99,67.6,5.723585101952381,inf,0,32.6,54.5,5.349676926893412,6.091435417144269,2.461686472724554,15,0,34.79999999999996,0.0,14.3,-21.6,1
R,1,NOR,21.0,2.0,HARD,15.0,86.728,64.0,5.846438775057724,inf,0,32.5,54.4,7.120303387089848,4.804721090588288,0.018039818689226873,13,0,35.29999999999999,0.0,11.9,-25.2,1
R,1,NOR,22.0,2.0,HARD,16.0,87.1,62.199999999999996,5.902633333401366,inf,0,32.4,53.8,7.10059151612076,4.5687675382114055,0.0031620806539986107,11,0,25.79999999999999,0.0,10.9,-27.0,1
R,1,NOR,23.0,2.0,HARD,17.0,85.706,60.4,5.953243334287785,inf,0,32.5,54.0,6.06275497574188,4.5658776786400335,1.140386580177413,11,0,40.4,0.0,10.0,-28.8,1
R,1,NOR,24.0,2.0,HARD,18.0,85.988,58.6,6.0014148779611505,inf,0,32.4,53.5,6.787227469502857,4.58883056728425,0.38673660345174254,14,0,38.89999999999997,0.0,9.5,-30.6,1
R,1,NOR,25.0,2.0,HARD,19.0,86.13,56.8,6.049733455231958,inf,0,32.4,53.2,6.507028984593319,4.5566428189644,0.6076423886293025,13,0,37.300000000000004,0.0,11.5,-32.4,1
R,1,NOR,26.0,2.0,HARD,20.0,85.864,55.0,6.091309882077698,inf,0,32.5,53.8,6.645292639243042,4.677930459241253,0.5478593508796797,10,0,44.10000000000001,0.0,10.100000000000001,-34.2,1
R,1,NOR,27.0,2.0,HARD,21.0,86.106,53.199999999999996,6.135564891081739,inf,0,32.5,54.3,6.4941988885070385,4.7598956701276895,0.7638053272760159,11,0,37.89999999999999,0.0,11.200000000000001,-36.0,1
R,1,NOR,28.0,2.0,HARD,22.0,111.146,51.4,6.161207321695077,inf,1,32.5,53.5,1.9265125839260404,3.3921868982871763,3.3859874160739576,4,0,6.0999999999999925,0.0,27.200000000000003,-37.800000000000004,0
R,1,NOR,29.0,2.0,HARD,23.0,91.49,49.6,6.186208623900494,inf,1,32.6,54.0,6.491685385419556,4.095554673121528,0.9088453508769273,7,0,32.99999999999998,0.0,15.200000000000001,-39.6,1
R,1,NOR,30.0,2.0,HARD,24.0,86.322,47.8,6.218600119691729,inf,0,32.3,53.3,6.547101144064722,4.817628789376349,0.767211793395366,13,0,44.80000000000002,0.0,11.0,-41.4,1
R,1,NOR,31.0,2.0,HARD,25.0,86.391,46.0,6.255750041753367,inf,0,32.3,54.1,7.717261197200244,7.015065391701832,1.025903149761228,13,2,56.49999999999999,5.600000000000006,3.5,-43.2,1
R,1,NOR,32.0,2.0,HARD,26.0,85.685,44.199999999999996,6.29156913955832,inf,0,32.7,53.9,5.960660852117586,4.963095575256387,1.4426482153955913,9,0,38.0,0.0,12.4,-45.0,1
R,1,NOR,33.0,2.0,HARD,27.0,86.434,42.4,6.326149473155099,inf,0,32.7,53.8,5.426963492201528,5.3255141876717795,2.21714310692541,11,1,42.59999999999999,0.8999999999999971,12.100000000000001,-46.800000000000004,1
R,1,NOR,34.0,2.0,HARD,28.0,85.191,40.6,6.359573868672378,inf,0,32.7,54.5,5.570623273122931,4.897835034554154,1.6692342409127263,13,0,40.699999999999996,0.0,10.700000000000001,-48.6,1
R,1,NOR,35.0,2.0,HARD,29.0,84.971,38.8,6.39024066706535,inf,0,32.9,54.2,5.696199464042595,4.907587733454837,1.6249709924134463,12,0,38.900000000000006,0.0,11.9,-50.4,1
R,1,NOR,36.0,2.0,HARD,30.0,85.352,37.0,6.421622267806518,inf,0,32.8,53.8,5.781308548648638,5.012692702130676,1.63582798915688,10,0,43.599999999999994,0.0,10.700000000000001,-52.2,1
R,1,NOR,37.0,2.0,HARD,31.0,85.22,35.2,6.452048954437226,inf,0,32.8,53.6,5.962957307452165,4.706204575653323,1.2348433689644813,9,1,35.900000000000006,0.8999999999999971,10.200000000000001,-54.0,1
R,1,NOR,38.0,2.0,HARD,32.0,85.288,33.39999999999999,6.481577129276431,inf,0,32.8,53.7,6.050804781264125,4.850191788842853,1.244911841678146,12,0,44.89999999999998,0.0,10.4,-55.800000000000004,1
R,1,NOR,39.0,2.0,HARD,33.0,85.213,31.599999999999994,6.51025834052315,inf,0,32.7,53.1,5.926749222264461,4.86662531284872,1.3795712227677688,8,1,42.89999999999999,0.39999999999999714,9.9,-57.6,1
R,1,NOR,40.0,2.0,HARD,34.0,85.162,29.799999999999997,6.536691597591305,inf,0,32.8,53.4,5.454416892870384,5.2861252651535136,1.8603471322781797,12,0,36.1,0.0,11.8,-59.4,1
R,1,NOR,41.0,2.0,HARD,35.0,86.173,28.0,6.5638555265321274,inf,0,32.8,53.1,4.6895082893134195,5.765776085824771,2.5747798020361685,10,0,37.699999999999974,0.0,14.4,-61.2,1
R,1,NOR,42.0,2.0,HARD,36.0,85.067,26.200000000000003,6.587550014824796,inf,0,32.8,52.9,5.44916151578081,5.027548011184008,1.952704507920858,15,0,32.60000000000002,0.0,10.8,-63.0,1
R,1,NOR,43.0,2.0,HARD,37.0,85.482,24.39999999999999,6.612041034833092,inf,0,32.7,53.3,5.684315050066978,5.201516074946108,1.7066768266639158,13,1,32.5,0.40000000000000424,10.8,-64.8,1
R,1,NOR,44.0,2.0,HARD,38.0,85.215,22.599999999999994,6.635946555686647,inf,0,32.5,53.0,4.79958535894807,5.049417813969928,2.281120550816973,9,1,41.899999999999984,0.5000000000000057,10.4,-66.60000000000001,1
R,1,NOR,45.0,2.0,HARD,39.0,84.873,20.799999999999997,6.660575149839686,inf,0,32.6,52.5,5.1110693015398265,5.221365511682844,2.349476802515498,9,0,41.900000000000006,0.0,10.8,-68.4,1
R,1,NOR,46.0,2.0,HARD,40.0,85.143,19.0,6.684611727667927,inf,0,32.6,52.7,4.846243842675498,5.374223093702896,2.5559951133561847,12,1,34.899999999999984,0.8000000000000028,11.9,-70.2,1
R,1,NOR,47.0,2.0,HARD,41.0,85.234,17.200000000000003,6.706862336602747,inf,0,32.8,52.7,4.685729181028643,5.572346305597961,2.6432750244184153,10,0,37.300000000000004,0.0,12.4,-72.0,1
R,1,NOR,48.0,2.0,HARD,42.0,84.864,15.399999999999991,6.727431724850855,inf,0,32.8,52.3,4.73060759317203,5.158579275411867,2.115952795042201,9,1,35.89999999999999,0.9999999999999986,11.0,-73.8,1
R,1,NOR,49.0,2.0,HARD,43.0,86.503,13.599999999999994,6.747586526829315,inf,0,32.6,52.5,5.380576545918064,5.571881068662206,2.3209213157921846,13,1,38.70000000000003,0.7999999999999957,10.9,-75.60000000000001,1
R,1,NOR,50.0,2.0,HARD,44.0,85.327,11.799999999999997,6.769641976852503,inf,0,32.6,52.6,4.917314170390457,5.3754681802766715,2.4398101476357517,10,0,42.80000000000001,0.0,11.4,-77.4,1
R,1,NOR,51.0,2.0,HARD,45.0,86.589,10.0,6.7912214627261855,inf,0,32.7,51.8,4.268250399123174,5.851129873695436,2.7544929536770293,12,0,31.99999999999999,0.0,12.600000000000001,-79.2,1
R,1,NOR,52.0,2.0,HARD,46.0,85.316,8.200000000000003,6.812345094177479,inf,0,32.6,52.4,4.670819182756505,5.394910023806679,2.6476091599517644,13,1,36.19999999999998,0.40000000000000424,11.700000000000001,-81.0,1
R,10,GAS,1.0,1.0,MEDIUM,1.0,88.47,100.0,0.0,inf,0,31.8,55.8,7.032902109339155,3.048355356645126,4.543776241853626e-05,11,1,36.600000000000016,3.9000000000000044,7.7,0.0,1
R,10,GAS,2.0,1.0,MEDIUM,2.0,87.795,98.2,3.091042453358316,inf,0,32.0,56.2,6.477475993854213,3.160426876961808,0.005090729593422189,14,1,30.400000000000002,3.600000000000007,8.1,-1.8,1
R,10,GAS,7.0,2.0,HARD,1.0,87.477,89.2,3.9889840465642745,inf,1,32.5,56.3,6.596727991939206,3.8550788565427982,0.002023059920568591,10,1,37.199999999999996,0.49999999999999856,9.8,0.0,1
R,10,GAS,8.0,2.0,HARD,2.0,86.557,87.4,4.31748811353631,inf,0,32.4,56.2,6.45915496076446,3.834531661165003,0.13916120583500996,11,2,33.699999999999996,4.2999999999999945,8.700000000000001,-1.8,1
R,10,GAS,9.0,2.0,HARD,3.0,86.428,85.6,4.553876891600541,inf,0,32.5,56.4,6.388723834708857,3.5888253741403053,0.019429664701848846,9,1,45.500000000000014,3.7000000000000015,8.200000000000001,-3.6,1
R,10,GAS,10.0,2.0,HARD,4.0,88.305,83.8,4.77912349311153,inf,1,32.4,56.2,6.717319372691396,4.118756197229925,0.16238934126578383,10,1,38.099999999999994,0.8999999999999971,10.4,-5.4,1
R,10,GAS,11.0,2.0,HARD,5.0,86.546,82.0,4.941642422609304,inf,0,32.4,55.8,6.503396758854205,4.006886888920662,0.2230051677435361,10,2,40.399999999999984,4.000000000000004,8.8,-7.2,1
R,10,GAS,12.0,2.0,HARD,6.0,86.112,80.2,5.081404364984463,inf,0,32.5,55.8,6.318680570727189,3.659025995812804,0.11756585577327862,17,1,34.099999999999994,3.7000000000000015,8.3,-9.0,1
R,10,GAS,13.0,2.0,HARD,7.0,85.998,78.4,5.198497031265826,inf,0,32.4,54.9,6.010988223919792,3.785858252567877,0.5449198437103339,10,1,44.70000000000002,3.600000000000007,8.9,-10.8,1
R,10,GAS,14.0,2.0,HARD,8.0,86.221,76.6,5.298317366548036,inf,0,32.5,55.4,5.931104046597278,3.506689229550891,0.2890908437521384,15,1,38.00000000000003,3.5000000000000058,9.1,-12.6,1
R,10,GAS,15.0,2.0,HARD,9.0,86.246,74.8,5.3981627015177525,inf,0,32.6,53.8,4.907451047932503,4.115421105133928,1.9593955682764705,12,1,32.299999999999976,3.6,9.200000000000001,-14.4,1
R,10,GAS,16.0,2.0,HARD,10.0,86.249,73.0,5.488937726156687,inf,0,32.6,54.9,5.112942097699023,4.066338287173052,1.7374595003048525,12,1,32.699999999999996,3.7000000000000015,9.600000000000001,-16.2,1
R,10,GAS,17.0,2.0,HARD,11.0,86.329,71.2,5.572154032177765,inf,0,32.6,54.9,5.408919130839042,4.070516347072026,1.4464238674917713,15,0,35.900000000000006,0.0,11.8,-18.0,1
R,10,GAS,18.0,2.0,HARD,12.0,86.809,69.4,5.648974238161206,inf,0,32.6,54.4,4.661660847827299,4.265643167352409,2.2702322131378163,14,1,38.70000000000001,0.49999999999999856,9.3,-19.8,1
R,10,GAS,19.0,2.0,HARD,13.0,86.979,67.6,5.720311776607412,inf,0,32.6,54.5,5.544292411726043,3.8137122393661516,0.9874010501847706,11,1,41.40000000000002,3.7000000000000015,8.4,-21.6,1
