year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,deleted,is_accurate,is_pit_lap,is_green,fuel_kg_burned,lap_time_fuel_corr_s,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,1.0,1.0,HARD,1.0,True,,,52.029,36.465,,1,,False,True,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,2.0,1.0,HARD,2.0,True,95.501,28.299,40.356,26.846,,1,,True,False,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,3.0,1.0,HARD,3.0,True,,49.316,67.062,37.559,,1,,False,False,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,4.0,1.0,HARD,4.0,True,94.059,27.744,39.361,26.954,,1,,True,False,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,5.0,1.0,HARD,5.0,True,128.808,38.93,52.196,37.682,,1,,False,True,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,6.0,2.0,HARD,6.0,False,141.488,61.459,50.128,29.901,,1,,False,True,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,7.0,2.0,HARD,7.0,False,93.011,27.479,39.107,26.425,,1,,True,False,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,8.0,2.0,HARD,8.0,False,,55.811,66.466,41.855,,12,,False,False,False,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,9.0,2.0,HARD,9.0,False,92.514,27.584,38.746,26.184,,1,,True,False,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,10.0,2.0,HARD,10.0,False,116.825,34.247,47.414,35.164,,1,,False,True,True,,,8.5,28.829268292682926,34.9719512195122,True
2025,Singapore Grand Prix,FP1,VER,1,Red Bull Racing,11.0,3.0,SOFT,1.0,True,,,50.851,38.793,,1,,False,True,True,,,8.5,28.829268292682926,34.9719512195122,True
