year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,deleted,is_accurate,is_pit_lap,is_green,fuel_kg_burned,lap_time_fuel_corr_s,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall
2025,Australia,FP1,VER,1,Red Bull Racing,1.0,1.0,MEDIUM,1.0,True,118.029,50.194,19.878,47.957,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,2.0,1.0,MEDIUM,2.0,True,79.771,27.951,17.793,34.027,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,3.0,1.0,MEDIUM,3.0,True,143.915,49.204,37.267,57.444,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,4.0,1.0,MEDIUM,4.0,True,79.149,27.343,17.455,34.351,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,5.0,1.0,MEDIUM,5.0,True,148.776,51.751,43.081,53.944,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,6.0,1.0,MEDIUM,6.0,True,78.325,27.206,17.528,33.591,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,8.0,2.0,SOFT,1.0,True,102.525,38.876,22.698,40.951,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,10.0,2.0,SOFT,3.0,True,,47.743,34.882,72.44,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,11.0,3.0,SOFT,4.0,False,126.808,48.434,30.27,48.104,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,13.0,4.0,MEDIUM,8.0,False,127.868,62.638,18.885,46.345,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,14.0,4.0,MEDIUM,9.0,False,83.242,28.907,18.449,35.886,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,15.0,4.0,MEDIUM,10.0,False,83.347,28.947,18.373,36.027,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,16.0,4.0,MEDIUM,11.0,False,83.252,29.322,18.413,35.517,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,17.0,4.0,MEDIUM,12.0,False,82.665,28.819,18.279,35.567,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,18.0,4.0,MEDIUM,13.0,False,82.528,28.874,18.203,35.451,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,20.0,4.0,MEDIUM,15.0,False,148.74,35.856,23.182,89.702,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,VER,1,Red Bull Racing,21.0,4.0,MEDIUM,16.0,False,,32.751,19.242,,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,NOR,4,McLaren,1.0,1.0,MEDIUM,1.0,True,,,21.472,42.168,,1.0,,False,True,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,NOR,4,McLaren,2.0,1.0,MEDIUM,2.0,True,81.896,29.317,18.02,34.559,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,NOR,4,McLaren,3.0,1.0,MEDIUM,3.0,True,121.633,42.313,30.096,49.224,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
2025,Australia,FP1,NOR,4,McLaren,4.0,1.0,MEDIUM,4.0,True,78.765,27.49,17.793,33.482,,1.0,,True,False,True,,,8.5,24.403703703703705,42.07654320987654,False
