session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,1,NOR,1.0,1.0,MEDIUM,1.0,96.458,100.0,1.791759469228055,inf,1,24.2,36.6,4.822260630378836,3.7646474349357355,2.167364592981426,10,0,22.200000000000017,0.0,22.5,0.0,0
R,1,NOR,2.0,1.0,MEDIUM,2.0,87.344,98.2,3.258096538021482,inf,1,24.2,36.0,5.702738461332634,4.140173515047341,1.4855765817969324,15,0,26.900000000000023,0.0,18.1,-1.8,1
R,1,NOR,3.0,1.0,MEDIUM,3.0,86.863,96.4,3.8501476017100584,inf,1,24.1,36.1,6.024891416915409,3.961578377689621,1.067229173622814,18,0,24.4,0.0,20.400000000000002,-3.6,1
R,1,NOR,4.0,1.0,MEDIUM,4.0,85.857,94.6,4.204692619390966,inf,0,24.1,36.1,6.386968041163001,3.928272341472936,1.0953439731289247,21,0,26.9,0.0,19.400000000000002,-5.4,1
R,1,NOR,5.0,1.0,MEDIUM,5.0,85.573,92.8,4.465908118654584,inf,0,24.2,35.1,6.425852693949617,3.6500450023576896,0.8676958182183628,18,2,20.800000000000022,1.1000000000000056,21.6,-7.2,1
R,1,NOR,6.0,1.0,MEDIUM,6.0,85.036,91.0,4.663439094112067,inf,0,24.2,35.3,6.09200991203743,3.8762641589791964,1.4723964314669544,19,0,26.300000000000008,0.0,20.3,-9.0,1
R,1,NOR,7.0,1.0,MEDIUM,7.0,84.978,89.2,4.8283137373023015,inf,0,24.3,35.8,5.955392381433265,4.163435430019548,1.5872754028641727,16,0,25.59999999999999,0.0,18.400000000000002,-10.8,1
R,1,NOR,8.0,1.0,MEDIUM,8.0,85.299,87.4,4.976733742420574,inf,0,24.5,36.6,6.196212518638111,4.248000209314567,1.3247912004681308,21,0,26.499999999999993,0.0,18.5,-12.6,1
R,1,NOR,9.0,1.0,MEDIUM,9.0,85.639,85.6,5.10594547390058,inf,0,24.4,38.1,6.236413503411075,4.447150928819282,1.4051583907608172,14,0,25.599999999999962,0.0,18.8,-14.4,1
R,1,NOR,10.0,1.0,MEDIUM,10.0,85.295,83.8,5.214935757608986,inf,0,24.5,36.7,6.508027608972245,3.9538426534328472,1.1657476060340546,17,0,24.199999999999996,0.0,18.1,-16.2,1
R,1,NOR,13.0,2.0,HARD,1.0,111.932,78.4,5.407171771460119,inf,1,24.6,36.8,5.06401114475615,4.601808429529463,2.5327292947518965,12,0,14.300000000000018,0.0,33.4,0.0,0
R,1,NOR,14.0,2.0,HARD,2.0,84.233,76.6,5.476463551931511,inf,0,24.3,36.6,6.1828415861517225,3.9879767656601772,1.2067202472724654,20,0,26.800000000000033,0.0,17.7,-1.8,1
R,1,NOR,15.0,2.0,HARD,3.0,83.784,74.8,5.545177444479562,inf,0,24.3,37.3,6.531308463689187,3.7375733150177783,0.8164975561157075,17,0,25.600000000000023,0.0,17.7,-3.6,1
R,1,NOR,16.0,2.0,HARD,4.0,83.912,73.0,5.6131281063880705,inf,0,24.5,39.1,6.3361280236982935,3.636095644053456,0.8893730565172312,13,0,26.700000000000006,0.0,16.8,-5.4,1
R,1,NOR,17.0,2.0,HARD,5.0,84.053,71.2,5.66988092298052,inf,0,24.6,37.7,6.57784597175803,3.7128774970459624,0.6765946097746125,16,0,28.899999999999984,0.0,16.900000000000002,-7.2,1
R,1,NOR,18.0,2.0,HARD,6.0,95.404,69.4,5.713732805509369,inf,1,24.6,36.3,4.2930637185666,4.015662028140396,2.1434318633804836,11,0,16.199999999999992,0.0,24.1,-9.0,0
R,1,NOR,19.0,2.0,HARD,7.0,116.07,67.6,5.752572638825633,inf,1,24.7,35.9,1.9140918596605627,2.451539173771512,3.0922863345939637,4,0,4.60000000000001,0.0,34.9,-10.8,0
R,1,NOR,20.0,2.0,HARD,8.0,85.774,65.8,5.7899601708972535,inf,1,24.6,35.8,6.784863212732331,3.1704630063979264,0.001122689432620724,13,0,26.899999999999995,0.0,17.7,-12.6,1
R,1,NOR,21.0,2.0,HARD,9.0,83.972,64.0,5.840641657373398,inf,0,24.6,35.7,6.966212206420074,4.115303521640311,0.6273305377326818,18,0,29.599999999999994,0.0,15.9,-14.4,1
R,1,NOR,22.0,2.0,HARD,10.0,83.687,62.199999999999996,5.8888779583328805,inf,0,24.6,36.4,7.167488132651483,3.611813805072426,0.12232355074983532,18,0,30.800000000000015,0.0,15.600000000000001,-16.2,1
R,1,NOR,23.0,2.0,HARD,11.0,83.534,60.4,5.934894195619588,inf,0,24.5,36.6,6.898345319887339,3.5387673696282897,0.47828535063561484,17,0,26.400000000000006,0.0,15.3,-18.0,1
R,1,NOR,24.0,2.0,HARD,12.0,83.394,58.6,5.978885764901122,inf,0,24.7,37.5,7.135128468938305,3.67692051745313,0.1941969571876294,16,0,25.099999999999987,0.0,13.9,-19.8,1
R,1,NOR,25.0,2.0,HARD,13.0,83.5,56.8,6.018593214496234,inf,0,24.8,37.6,6.910822722791278,3.687397793253276,0.5591445300132334,17,0,28.799999999999986,0.0,15.100000000000001,-21.6,1
R,1,NOR,26.0,2.0,HARD,14.0,83.403,55.0,6.054439346269371,inf,0,24.8,37.4,6.741945351088724,3.8949074705814652,0.6719596026566318,18,1,28.700000000000017,4.299999999999999,13.9,-23.400000000000002,1
R,1,NOR,27.0,2.0,HARD,15.0,83.896,53.199999999999996,6.095824562432225,inf,0,24.8,36.5,6.594317753618076,3.692128186139697,0.3982669793265256,16,0,27.100000000000012,0.0,15.3,-25.2,1
R,1,NOR,28.0,2.0,HARD,16.0,84.04,51.4,6.131226489483141,inf,0,24.8,36.3,6.666080440884592,3.749605661325273,0.6224116874071604,18,0,28.900000000000002,0.0,15.600000000000001,-27.0,1
