year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,deleted,is_accurate,is_pit_lap,is_green,fuel_kg_burned,lap_time_fuel_corr_s,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R,y_fuel_s,a_y_pred,residual_s
2026,Silverstone,FP1,NOR,1,McLaren,1.0,1.0,HARD,1.0,True,,,42.035,38.547,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,NOR,1,McLaren,2.0,1.0,HARD,2.0,True,93.212,29.313,37.423,26.476,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.212,92.27598817187717,0.9360118281228296
2026,Silverstone,FP1,NOR,1,McLaren,3.0,1.0,HARD,3.0,True,,44.708,64.497,40.942,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,NOR,1,McLaren,4.0,1.0,HARD,4.0,True,106.833,31.841,43.196,31.796,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,106.833,92.27598817187717,14.557011828122825
2026,Silverstone,FP1,NOR,1,McLaren,5.0,1.0,HARD,5.0,True,92.179,29.139,37.392,25.648,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.179,92.27598817187717,-0.09698817187717168
2026,Silverstone,FP1,NOR,1,McLaren,6.0,1.0,HARD,6.0,True,132.965,41.963,56.229,34.773,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,132.965,92.27598817187717,40.68901182812283
2026,Silverstone,FP1,NOR,1,McLaren,7.0,1.0,HARD,7.0,True,91.595,28.898,37.099,25.598,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,91.595,92.27598817187717,-0.6809881718771749
2026,Silverstone,FP1,NOR,1,McLaren,8.0,1.0,HARD,8.0,True,125.918,38.404,53.15,34.364,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,125.918,92.27598817187717,33.64201182812283
2026,Silverstone,FP1,NOR,1,McLaren,9.0,1.0,HARD,9.0,True,93.026,28.801,37.318,26.907,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.026,92.27598817187717,0.7500118281228225
2026,Silverstone,FP1,NOR,1,McLaren,10.0,2.0,HARD,10.0,False,,,42.544,31.235,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,NOR,1,McLaren,11.0,2.0,HARD,11.0,False,91.575,28.886,36.989,25.7,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,91.575,92.27598817187717,-0.7009881718771709
2026,Silverstone,FP1,NOR,1,McLaren,12.0,2.0,HARD,12.0,False,102.087,33.728,42.001,26.358,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,102.087,92.27598817187717,9.81101182812283
2026,Silverstone,FP1,NOR,1,McLaren,13.0,2.0,HARD,13.0,False,94.02,29.684,37.637,26.699,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.02,92.27598817187717,1.7440118281228223
2026,Silverstone,FP1,NOR,1,McLaren,14.0,2.0,HARD,14.0,False,92.289,29.051,37.433,25.805,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.289,92.27598817187717,0.013011828122827751
2026,Silverstone,FP1,NOR,1,McLaren,15.0,2.0,HARD,15.0,False,94.517,29.614,38.993,25.91,,12,,True,False,False,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.517,92.27598817187717,2.241011828122822
2026,Silverstone,FP1,NOR,1,McLaren,16.0,2.0,HARD,16.0,False,93.92,29.632,37.981,26.307,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.92,92.27598817187717,1.644011828122828
2026,Silverstone,FP1,NOR,1,McLaren,17.0,2.0,HARD,17.0,False,94.028,30.247,37.947,25.834,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.028,92.27598817187717,1.752011828122832
2026,Silverstone,FP1,NOR,1,McLaren,18.0,2.0,HARD,18.0,False,93.069,29.616,37.714,25.739,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.069,92.27598817187717,0.7930118281228289
2026,Silverstone,FP1,NOR,1,McLaren,19.0,3.0,SOFT,1.0,True,,,41.731,27.665,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.7090512699069,
2026,Silverstone,FP1,NOR,1,McLaren,20.0,3.0,SOFT,2.0,True,90.288,28.508,36.41,25.37,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,90.288,92.7090512699069,-2.421051269906897
2026,Silverstone,FP1,NOR,1,McLaren,21.0,3.0,SOFT,3.0,True,136.339,41.631,60.169,34.539,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,136.339,92.7090512699069,43.629948730093105
2026,Silverstone,FP1,NOR,1,McLaren,22.0,4.0,SOFT,4.0,False,142.737,65.749,48.22,28.768,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,142.737,92.7090512699069,50.0279487300931
2026,Silverstone,FP1,NOR,1,McLaren,23.0,4.0,SOFT,5.0,False,90.676,28.635,36.483,25.558,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,90.676,92.7090512699069,-2.033051269906892
2026,Silverstone,FP1,NOR,1,McLaren,24.0,4.0,SOFT,6.0,False,123.585,41.116,49.246,33.223,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,123.585,92.7090512699069,30.8759487300931
2026,Silverstone,FP1,NOR,1,McLaren,25.0,4.0,SOFT,7.0,False,125.534,37.931,46.601,41.002,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,125.534,92.7090512699069,32.82494873009311
2026,Silverstone,FP1,NOR,1,McLaren,26.0,4.0,SOFT,8.0,False,,73.267,43.945,38.897,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.7090512699069,
2026,Silverstone,FP1,NOR,1,McLaren,27.0,4.0,SOFT,9.0,False,125.887,59.883,37.664,28.34,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,125.887,92.7090512699069,33.17794873009311
2026,Silverstone,FP1,VER,3,Red Bull Racing,1.0,1.0,HARD,1.0,True,,,44.64,38.005,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,VER,3,Red Bull Racing,2.0,1.0,HARD,2.0,True,92.653,29.301,37.645,25.707,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.653,92.27598817187717,0.37701182812283207
