event,compound,laps,max_age,wear_s_per_lap,level,driver
Monza,HARD,183,23.0,0.008878976868257941,practice_event_compound,
Monza,MEDIUM,317,23.0,0.0076717235578238185,practice_event_compound,
Monza,SOFT,414,21.0,0.01450591517625021,practice_event_compound,
Silverstone,HARD,252,27.0,-0.009626486297381252,practice_event_compound,
Silverstone,MEDIUM,40,13.0,0.6257266201412092,practice_event_compound,
Silverstone,SOFT,52,11.0,0.2072028946700047,practice_event_compound,
*,HARD,435,27.0,-0.00702858796170674,practice_compound,
*,MEDIUM,357,23.0,0.016567714201087807,practice_compound,
*,SOFT,466,21.0,0.010892559770601317,practice_compound,
Silverstone,HARD,470,50.0,0.05435131488989194,loeo_compound,
Silverstone,MEDIUM,377,50.0,0.03710499921158832,loeo_compound,
Silverstone,SOFT,81,24.0,-0.011434231363583942,loeo_compound,
Monza,HARD,392,34.0,0.030903339675026748,loeo_compound,
Monza,MEDIUM,499,35.0,0.009456048481237754,loeo_compound,
Monza,SOFT,63,14.0,-0.03301188950928176,loeo_compound,
Monza,HARD,431,50.0,0.05560874692586777,field_lodo,ALB
Monza,HARD,468,50.0,0.057512053873212066,field_lodo,ALO
Monza,HARD,468,50.0,0.05740543549276802,field_lodo,ANT
Monza,HARD,425,50.0,0.05882014613595539,field_lodo,BEA
Monza,HARD,425,50.0,0.051380029280773634,field_lodo,COL
Monza,HARD,425,50.0,0.05343474463479756,field_lodo,GAS
Monza,HARD,450,50.0,0.06171810456389552,field_lodo,HUL
Monza,HARD,465,50.0,0.05815271917124687,field_lodo,LAW
Monza,HARD,424,50.0,0.05529686693875171,field_lodo,LIN
Monza,HARD,425,50.0,0.04785954881666637,field_lodo,NOR
Monza,HARD,450,50.0,0.06010189400905207,field_lodo,OCO
Monza,HARD,425,50.0,0.054113324608601854,field_lodo,PIA
Monza,HARD,425,50.0,0.05612262703548435,field_lodo,RUS
Monza,HARD,450,50.0,0.055455256027812046,field_lodo,SAI
Monza,HARD,450,50.0,0.06047438672459806,field_lodo,STR
Monza,HARD,468,50.0,0.058341687420275005,field_lodo,TSU
Monza,HARD,446,50.0,0.052591371320974176,field_lodo,VER
Monza,MEDIUM,375,50.0,0.03331409065940166,field_lodo,ALB
Monza,MEDIUM,332,50.0,0.04103538018138575,field_lodo,ANT
Monza,MEDIUM,331,50.0,0.042627218846460146,field_lodo,BOR
Monza,MEDIUM,357,50.0,0.02755156619591785,field_lodo,BOT
Monza,MEDIUM,375,50.0,0.03391440886639743,field_lodo,COL
Monza,MEDIUM,375,50.0,0.033941382161272265,field_lodo,GAS
Monza,MEDIUM,332,50.0,0.03003701172703134,field_lodo,HAM
Monza,MEDIUM,350,50.0,0.030840797307596927,field_lodo,HUL
Monza,MEDIUM,337,50.0,0.03973850549753912,field_lodo,LAW
Monza,MEDIUM,375,50.0,0.03391026309753831,field_lodo,LIN
Monza,MEDIUM,375,50.0,0.03393997939530092,field_lodo,NOR
Monza,MEDIUM,353,50.0,0.030704141643897027,field_lodo,OCO
Monza,MEDIUM,353,50.0,0.03344414406369559,field_lodo,PER
Monza,MEDIUM,375,50.0,0.03288008872129654,field_lodo,PIA
Monza,MEDIUM,375,50.0,0.03328316263870797,field_lodo,RUS
Monza,MEDIUM,352,50.0,0.041564994975733446,field_lodo,SAI
Monza,MEDIUM,331,50.0,0.03161212047475813,field_lodo,TSU
Monza,MEDIUM,356,50.0,0.034335856046821635,field_lodo,VER
Monza,SOFT,76,24.0,-0.0125667237452579,field_lodo,ALB
Monza,SOFT,65,24.0,-0.0176232120821853,field_lodo,ALO
Monza,SOFT,79,24.0,-0.0029563548506521156,field_lodo,BEA
Monza,SOFT,79,24.0,-0.002708705950258943,field_lodo,BOR
Monza,SOFT,58,23.0,-0.046659709585232835,field_lodo,BOT
Monza,SOFT,79,24.0,-0.002288244231401447,field_lodo,HAM
Monza,SOFT,80,24.0,-0.014498875999572563,field_lodo,LEC
Monza,SOFT,79,24.0,-0.002988400744263439,field_lodo,OCO
Monza,SOFT,59,24.0,-0.061457355272873944,field_lodo,PER
Monza,SOFT,79,24.0,-0.002999955818478527,field_lodo,SAI
Monza,SOFT,79,24.0,-0.0022405235528521455,field_lodo,STR
Monza,SOFT,79,24.0,-0.002999829097753959,field_lodo,VER
Silverstone,HARD,381,34.0,0.03273700140343301,field_lodo,ALB
Silverstone,HARD,369,34.0,0.03201458199485993,field_lodo,ALO
Silverstone,HARD,388,34.0,0.03741518015281069,field_lodo,ANT
Silverstone,HARD,378,34.0,0.029754385502895726,field_lodo,BEA
Silverstone,HARD,374,34.0,0.033357709300836064,field_lodo,BOR
Silverstone,HARD,379,34.0,0.022724263229807667,field_lodo,BOT
Silverstone,HARD,370,34.0,0.02480999252594169,field_lodo,COL
Silverstone,HARD,371,34.0,0.026449880192394245,field_lodo,GAS
Silverstone,HARD,376,34.0,0.02658660396313515,field_lodo,HAD
Silverstone,HARD,371,34.0,0.016940360556344545,field_lodo,HAM
Silverstone,HARD,377,34.0,0.030778412764415283,field_lodo,HUL
Silverstone,HARD,376,34.0,0.0273763075028465,field_lodo,LAW
Silverstone,HARD,372,34.0,0.03708995652267311,field_lodo,LEC
Silverstone,HARD,375,34.0,0.0289912759747811,field_lodo,LIN
Silverstone,HARD,384,34.0,0.02059849653825804,field_lodo,NOR
Silverstone,HARD,370,34.0,0.03036933669518782,field_lodo,OCO
Silverstone,HARD,370,34.0,0.024004868023719046,field_lodo,PER
Silverstone,HARD,360,27.0,0.03649148160751659,field_lodo,PIA
Silverstone,HARD,382,34.0,0.03199816705634535,field_lodo,RUS
Silverstone,HARD,368,34.0,0.03610544753556091,field_lodo,SAI
Silverstone,HARD,368,34.0,0.026776223864136695,field_lodo,STR
Silverstone,HARD,373,34.0,0.029129863770496957,field_lodo,VER
Silverstone,MEDIUM,491,35.0,0.0007194221762957981,field_lodo,ALB
Silverstone,MEDIUM,480,35.0,0.028599744576239948,field_lodo,ALO
Silverstone,MEDIUM,459,29.0,0.008298298283413184,field_lodo,ANT
Silverstone,MEDIUM,472,35.0,0.00635032278103423,field_lodo,BEA
Silverstone,MEDIUM,475,35.0,0.004445069907936902,field_lodo,BOR
Silverstone,MEDIUM,472,35.0,0.008497601863118537,field_lodo,BOT
Silverstone,MEDIUM,478,35.0,-0.011598798603076952,field_lodo,COL
Silverstone,MEDIUM,478,35.0,-0.004884714005231392,field_lodo,GAS
Silverstone,MEDIUM,472,35.0,-0.002199620263284736,field_lodo,HAD
Silverstone,MEDIUM,477,35.0,0.0037993675579706503,field_lodo,HAM
Silverstone,MEDIUM,484,35.0,0.017077159066629308,field_lodo,HUL
Silverstone,MEDIUM,473,35.0,0.013651517564122391,field_lodo,LAW
Silverstone,MEDIUM,475,35.0,0.011859258782296931,field_lodo,LEC
Silverstone,MEDIUM,474,35.0,0.010475686852517456,field_lodo,LIN
Silverstone,MEDIUM,466,35.0,0.011027444875117531,field_lodo,NOR
Silverstone,MEDIUM,479,35.0,0.016086249181340575,field_lodo,OCO
Silverstone,MEDIUM,480,35.0,0.015278275976232129,field_lodo,PER
Silverstone,MEDIUM,490,35.0,-0.005211080295981334,field_lodo,PIA
Silverstone,MEDIUM,467,35.0,0.02084003815656195,field_lodo,RUS
Silverstone,MEDIUM,480,35.0,0.019541128579757577,field_lodo,SAI
Silverstone,MEDIUM,482,35.0,0.0075415360857842674,field_lodo,STR
Silverstone,MEDIUM,475,35.0,0.011982464604876331,field_lodo,VER
Silverstone,SOFT,46,8.0,-0.10330335508269593,field_lodo,ALB
Silverstone,SOFT,61,14.0,-0.03534489292043743,field_lodo,ALO
Silverstone,SOFT,60,14.0,-0.04136763028655765,field_lodo,BEA
Silverstone,SOFT,60,14.0,-0.08898961731221663,field_lodo,BOR
Silverstone,SOFT,59,14.0,-0.021383656701957753,field_lodo,BOT
Silverstone,SOFT,61,14.0,-0.04505327469054503,field_lodo,COL
Silverstone,SOFT,61,14.0,-0.021878409320163543,field_lodo,GAS
Silverstone,SOFT,60,14.0,-0.076848551139489,field_lodo,HAD
Silverstone,SOFT,61,14.0,-0.0017285393017258312,field_lodo,HAM
Silverstone,SOFT,62,14.0,-0.0376299529354503,field_lodo,HUL
Silverstone,SOFT,59,14.0,0.010368904114868804,field_lodo,LAW
Silverstone,SOFT,62,14.0,-0.030377459118411335,field_lodo,LEC
Silverstone,SOFT,60,14.0,-0.04637576716140884,field_lodo,LIN
Silverstone,SOFT,60,14.0,0.008012044735216117,field_lodo,NOR
Silverstone,SOFT,60,14.0,-0.03872887831860928,field_lodo,OCO
Silverstone,SOFT,60,14.0,-0.04523279949916305,field_lodo,PER
Silverstone,SOFT,61,14.0,-0.0361648852267168,field_lodo,PIA
Silverstone,SOFT,61,14.0,-0.029260513645526866,field_lodo,SAI
Silverstone,SOFT,60,14.0,-0.009972054533126253,field_lodo,STR
