year,event,session,driver,driver_number,team,stint,compound,n_laps,stint_start_lap,stint_end_lap,tyre_age_start,tyre_age_end,pred_wear_s_per_lap,practice_wear_s_per_lap,loeo_wear_s_per_lap,field_wear_s_per_lap,live_wear_s_per_lap,actual_wear_s_per_lap,actual_wear_full_s_per_lap,wear_error,pred_plus_5_s,pred_plus_10_s,pred_plus_15_s,cliff_tyre_lap,recommended_pit_lap,actual_pit_lap,prior_source,notes
2026,Monza,R,ALB,23,Williams,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03331409065940166,0.0076717235578238185,0.009456048481237754,0.03331409065940166,,,,,0.16657045329700831,0.33314090659401663,0.49971135989102494,30.0,,3.0,field_lodo,no pit call from wear
2026,Monza,R,ALB,23,Williams,2.0,HARD,39,7.0,46.0,4.0,43.0,0.03707249795057852,0.008878976868257941,0.030903339675026748,0.05560874692586777,-0.0729049075075834,0.11709884183590245,0.09834699856223697,-0.08002634388532393,0.1853624897528926,0.3707249795057852,0.5560874692586778,27.0,,47.0,live_field_lodo,no pit call from wear
2026,Monza,R,ALB,23,Williams,3.0,SOFT,5,48.0,52.0,2.0,6.0,0.0,0.01450591517625021,-0.03301188950928176,-0.0125667237452579,,,,,0.0,0.0,0.0,,,,field_lodo,no pit call from wear
2026,Monza,R,ALO,14,Aston Martin,1.0,HARD,2,1.0,2.0,1.0,2.0,0.057512053873212066,0.008878976868257941,0.030903339675026748,0.057512053873212066,,,,,0.28756026936606033,0.5751205387321207,0.8626808080981809,17.4,,3.0,field_lodo,no pit call from wear
2026,Monza,R,ALO,14,Aston Martin,2.0,SOFT,16,7.0,22.0,4.0,19.0,0.0,0.01450591517625021,-0.03301188950928176,-0.0176232120821853,-0.1960972472548257,0.04984218818761535,0.14828501364914176,-0.04984218818761535,0.0,0.0,0.0,,,,live_field_lodo,no pit call from wear
2026,Monza,R,ANT,12,Mercedes,1.0,HARD,2,1.0,2.0,1.0,2.0,0.05740543549276802,0.008878976868257941,0.030903339675026748,0.05740543549276802,,,,,0.2870271774638401,0.5740543549276802,0.8610815323915203,17.4,,3.0,field_lodo,no pit call from wear
2026,Monza,R,ANT,12,Mercedes,2.0,MEDIUM,21,7.0,27.0,4.0,24.0,0.027356920120923837,0.0076717235578238185,0.009456048481237754,0.04103538018138575,-0.3470766496617214,-0.11692092327059103,-0.1335965636921131,0.14427784339151487,0.1367846006046192,0.2735692012092384,0.41035380181385755,36.6,,28.0,live_field_lodo,no pit call from wear
2026,Monza,R,ANT,12,Mercedes,3.0,MEDIUM,24,30.0,53.0,2.0,25.0,0.054333178993004,0.0076717235578238185,0.009456048481237754,0.04103538018138575,0.0809287766162405,-0.07176247795946854,0.013931125048202563,0.12609565695247255,0.27166589496502,0.54333178993004,0.81499768489506,18.4,,,live_field_lodo,no pit call from wear
2026,Monza,R,BEA,87,Haas F1 Team,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.0029563548506521156,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,BEA,87,Haas F1 Team,2.0,HARD,45,7.0,53.0,4.0,50.0,0.09670322099986514,0.008878976868257941,0.030903339675026748,0.05882014613595539,0.17246937072768462,0.01841884693821987,0.03625705864418174,0.07828437406164528,0.48351610499932574,0.9670322099986515,1.4505483149979772,10.3,,,live_field_lodo,no pit call from wear
2026,Monza,R,BOR,5,Audi,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.002708705950258943,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,BOR,5,Audi,2.0,MEDIUM,46,7.0,53.0,4.0,50.0,0.08200802067968849,0.0076717235578238185,0.009456048481237754,0.042627218846460146,0.16076962434614517,0.08977776867650397,0.05191664461047339,-0.007769747996815485,0.41004010339844243,0.8200802067968849,1.2301203101953273,12.2,,,live_field_lodo,no pit call from wear
2026,Monza,R,BOT,77,Cadillac,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.046659709585232835,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,BOT,77,Cadillac,2.0,MEDIUM,20,7.0,26.0,4.0,23.0,0.3255809552030399,0.0076717235578238185,0.009456048481237754,0.02755156619591785,0.9216397332172841,0.008145225153324312,0.11961584751421178,0.3174357300497156,1.6279047760151997,3.2558095520303993,4.883714328045599,3.1,,27.0,live_field_lodo,no pit call from wear
