team,compound,offset_ms_per_lap,n_stints
Williams,SOFT,8.224999999999898,17
Williams,MEDIUM,-12.333333333331469,27
Williams,HARD,-11.083488550922834,19
Aston Martin,SOFT,-21.823611111112182,8
Aston Martin,MEDIUM,9.133333333334305,27
Aston Martin,HARD,-16.9902255639099,25
Mercedes,SOFT,11.592857142856557,12
Mercedes,MEDIUM,4.831818181819527,28
Mercedes,HARD,-9.693984962405523,23
Haas F1 Team,SOFT,-21.429605263161662,8
Haas F1 Team,MEDIUM,-8.174025974024682,31
Haas F1 Team,HARD,0.09574124705675341,22
Kick Sauber,SOFT,-18.370833333334183,14
Kick Sauber,MEDIUM,-2.521428571424372,24
Kick Sauber,HARD,9.242710944025085,18
Alpine,SOFT,-4.858333333333895,14
Alpine,MEDIUM,0.9726190476223375,27
Alpine,HARD,26.857393483709348,21
Racing Bulls,SOFT,-19.62526223776491,12
Racing Bulls,MEDIUM,8.000000000001249,27
Racing Bulls,HARD,8.756203007518716,23
Ferrari,SOFT,22.22499999999332,9
Ferrari,MEDIUM,9.300000000001772,33
Ferrari,HARD,0.0,23
McLaren,SOFT,-5.669444444445837,9
McLaren,MEDIUM,-11.324999999997234,33
McLaren,HARD,6.645488721803965,27
Red Bull Racing,SOFT,36.18333333333439,16
Red Bull Racing,MEDIUM,11.514285714286137,28
Red Bull Racing,HARD,2.0775233538395144,22
